"Date","Time","Course","Horse","EvP","E--B","BrP","B--M","MoP","E--M","NRs","Odds","E--SP","Finishing Position","UR1_Rank","Jockey","Trainer","dyLTO","UR1","DSLR","OR","dyHA","dyMR","dyAVG(X)","dyHC","dyMR(X)","dy2HA","dyAVG","TissueRating","PFR","TIS+PFR","Pace","Time","Distance","Race Type","Class","ClassNumber","DistanceInYards","JockeyClaim","Prize","Race","Fin Pos","UR2","UR3","UR4","Pounds","Form","Won Since","Plc Since","Runs Since","SR Since","Plc SR Since","P/L Since","Won Before","Plc Before","Runs Before","SR Before","Plc SR Before","Finished Races SR","P/L Before","VDW","Class LTO","New Class LTO","Value LTO","Pounds LTO","Distance LTO","Distance in Yards LTO","BSP_(Decimal)_LTO","SP_(Decimal)_LTO","PaceForm","Pace %","Draw","Age","Weight","History","#","Rating","Classifications","Course Characteristics","Qual","Tissue Odds","Tissue Numerical Odds","Min Age","Max Age","Hcap Limit","Runners","Orig_Runners","Main","Main Stats","Stats","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","DSLR(F)","DSLR(J)","Colour","Sex","Dam","Sire","Equip","Pen","Draw IV","FWins","FRuns","fPRB","fPRB^2","50% Low SR","70% Low SR","PvSTot","PvSTotL3","50% High SR","12 Tick Higher SR","BSP","IR_Lowest","%DiffLOW","IR_Highest","Replay","%DiffHIGH","Sex","t7PRB","t14PRB","t28PRB","t56PRB","UR5","UR6","Numerical Odds","POSAFTUPG","CHGPOS","LTO_POSAFTUPG","LTO_CHGPOS"
"02/09/2026","16:38","Navan","Harry's Hill","8.50","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","8","Paddy Harnett","Martin Hassett","61","54","17","73","74","60","61","D","61","73","59","39","38","77","4","02/09/2026 16:38","5f","Turf","D","4","1100","3","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","133","09-67060621","0","0","0","0.00","0.00","0.00","10","9","64","15.63","14.06","0.00","15.83","130.80","E","5","10800.00","134","5f","1100","5.70","5.00","PP-PPPLPHPP","5.00","1","8","9.7","CD","10","0","Hcap","Left - Stiff / Undulating","3yo+,85","11/1","11.00","3","","85","18","18","252","475","223","62","59","68","34","17","","b","g","Lexington Rose","Heeraat","t","0","1.30","10","64","54.75","40.97","40.63","29.69","14","1","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","35.60","36.12","50.56","57.13","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Dandyville","51.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","6","Seamie Heffernan","Ms Claire O'Connell","54","59","18","75","77","63","51","B","51","76","62","12","18","30","4","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","135","325/02/7000-0","0","0","0","0.00","0.00","0.00","7","9","33","21.21","27.27","0.00","7.70","89.57","B","2","15000.00","119","6f","1320","215.60","67.00","PPL/HP/PPPH-P","5.00","13","8","9.9","","7","0","Hcap","Left - Stiff / Undulating","3yo+,85","40/1","40.00","3","","85","18","18","144","310","166","50","72","51","-7","18","","ch","g","Lady Mandeville","Dandy Man","","0","0.69","7","33","63.42","51.25","42.42","30.30","9","1","71.43","100.00","1.00","0.00","0.00","0.00","NO","0.00","Male","45.77","39.95","42.46","43.20","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Cuban Grey","11.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","11","Luke McAteer","P J McKenna","73","49","18","79","73","61","68","B","67","70","58","27","23","50","10","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","139","5205179435","0","0","0","0.00","0.00","0.00","7","19","57","12.28","33.33","0.00","5.25","89.43","B","2","15000.00","114","6f","1320","23.00","17.00","PLHPLPLPLL","12.00","3","6","9.13","D","3","0","Hcap","Left - Stiff / Undulating","3yo+,85","16/1","16.00","3","","85","18","18","243","253","10","34","47","46","-11","18","","gr","g","Tout Va Bien","Havana Grey","p","0","0.94","7","57","56.79","44.03","31.58","22.81","21","3","28.57","28.57","1.00","0.00","0.00","0.00","NO","0.00","Male","0.00","0.00","72.73","72.73","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Happy Henry","11.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","3","Leigh Roche","W McCreery","47","77","17","66","69","56","58","F","63","68","56","36","25","61","2","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","126","3523313159","0","0","0","0.00","0.00","0.00","2","6","24","8.33","25.00","0.00","-6.00","66.00","E","5","10800.00","137","5f","1100","5.47","4.33","PPHHHHHHHP","2.00","9","5","9.0","CD  BF","14","0","Hcap","Left - Stiff / Undulating","3yo+,85","12/1","12.00","3","","85","18","18","161","456","295","88","63","85","59","17","","b","g","Social Butterfly","Bungle Inthejungle","","0","1.45","2","24","59.52","44.61","20.83","20.83","0","1","50.00","100.00","1.00","0.00","0.00","0.00","NO","0.00","Male","44.93","63.34","55.24","55.12","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Gotta Catch'em All","7.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","17","Siobhan Rutledge","H Rogers","66","21","6","76","73","59","63","C","63","70","56","60","40","100","10","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","136","4-769611293","0","0","0","0.00","0.00","0.00","2","10","30","6.67","33.33","0.00","-12.00","81.00","C","3","12000.00","132","5f 180y","1280","5.18","4.50","H-HHHPPLLPL","12.00","2","6","9.10","C  BF","5","0","Hcap","Left - Stiff / Undulating","3yo+,85","13/2","6.50","3","","85","18","18","260","427","167","61","22","69","15","6","","b","g","Allegra Tak","Free Eagle","b","0","0.83","2","30","64.04","48.04","40.00","23.33","2","-3","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","52.21","51.38","45.39","52.16","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Alnofoor","17.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","14","Andrew Slattery","Ms Claire O'Connell","54","36","82","59","73","58","60","F","60","66","58","19","40","59","8","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","119","469/588-1138","0","0","0","0.00","0.00","0.00","2","1","12","16.67","8.33","0.00","0.00","60.00","F","6","6000.00","140","6f","1320","5.60","4.50","PPH/HHH-HLPP","10.00","14","8","8.7","C D  BF","18","0","Hcap","Left - Stiff / Undulating","3yo+,85","22/1","22.00","3","","85","18","18","132","372","240","50","63","65","62","82","","b","g","Kept Under Wraps","Twilight Son","t","0","0.53","2","12","70.20","53.65","25.00","16.67","4","-1","0.00","50.00","1.00","0.00","0.00","0.00","NO","0.00","Male","45.77","39.95","42.46","43.20","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Sovereign Cry","15.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","7","Jessica O'Gorman","Daniel Murphy","55","58","6","77","64","62","59","D","62","63","57","22","14","36","0","02/09/2026 16:38","5f","Turf","D","4","1100","7","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","136","21-04691849","0","0","0","0.00","0.00","0.00","2","1","11","18.18","9.09","0.00","-2.50","102.00","C","3","12000.00","125","5f 180y","1280","6.36","5.50","PP-PHPHHHHH","0.00","12","3","9.10","D","6","0","Hcap","Left - Stiff / Undulating","3yo+,85","20/1","20.00","3","","85","18","18","198","400","202","52","64","60","26","6","","b","g","Araajmh","Ten Sovereigns","p","0","1.20","2","11","55.00","43.02","27.27","27.27","3","-1","50.00","50.00","1.00","0.00","0.00","0.00","NO","0.00","Male","51.03","64.63","66.59","65.94","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Prairie Girl","7.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","13","T Casey","Daniel Murphy","67","39","24","83","69","65","63","D","67","68","61","24","35","59","2","02/09/2026 16:38","5f","Turf","D","4","1100","7","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","143","863412-1104","0","0","0","0.00","0.00","0.00","3","2","11","27.27","18.18","0.00","2.50","72.00","B","2","21000.00","118","5f","1100","32.68","21.00","PHHHPL-PPHH","2.00","11","4","10.3","D","1","0","Hcap","Left - Stiff / Undulating","3yo+,85","18/1","18.00","3","","85","18","18","246","314","68","52","36","49","-69","24","","b","f","Zena Lady","Mehmas","p","0","0.16","3","11","66.26","53.30","45.45","36.36","3","1","0.00","66.67","1.00","0.00","0.00","0.00","NO","0.00","Female","51.03","64.63","66.59","65.94","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Amerilis","7.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","2","W J Lee","Gillian Scott","73","109","19","80","73","60","63","E","66","66","60","41","53","94","8","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","139","66-492621","0","0","0","0.00","0.00","0.00","1","2","8","12.50","25.00","0.00","-1.50","72.00","E","5","7200.00","139","5f","1100","7.30","6.50","HP-HPLPPL","10.00","15","3","9.13","D","2","0","Hcap","Left - Stiff / Undulating","3yo+,85","10/1","10.00","3","","85","18","18","267","503","236","63","94","81","-2","19","","b","f","Happy Holly","Lope Y Fernandez","tp","0","0.94","1","8","70.29","55.64","62.50","37.50","4","3","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Female","0.00","44.44","49.43","52.14","0.00","0.00","0.00","","","",""
"02/09/2026","16:38","Navan","Beach Barbie","17.00","0.00","0.00","0.00","0.00","0.00","NO","","0.00","","16","J J G Ryan","Edward Lynam","56","35","18","64","58","55","56","E","56","56","54","0","10","10","0","02/09/2026 16:38","5f","Turf","D","4","1100","0","9000.00","Navan Racecourse Handicap (Class D) (0-85)","","","","0.00","124","7553","0","0","0","0.00","0.00","0.00","0","1","4","0.00","25.00","0.00","-4.00","0.00","E","5","9000.00","132","5f","1100","28.00","21.00","HHHH","0.00","5","4","8.12","","15","0","Hcap","Left - Stiff / Undulating","3yo+,85","","0.00","3","","85","18","18","11","172","161","84","30","58","-11","18","","b","f","Magic Bear","Footstepsinthesand","","0","1.66","0","4","49.03","29.75","0.00","0.00","2","3","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Female","7.69","37.18","48.14","47.94","0.00","0.00","0.00","","","",""
