"Date","Time","Course","Horse","EvP","E--B","BrP","B--M","MoP","E--M","NRs","Odds","E--SP","Finishing Position","UR1_Rank","Jockey","Trainer","dyLTO","UR1","DSLR","OR","dyHA","dyMR","dyAVG(X)","dyHC","dyMR(X)","dy2HA","dyAVG","TissueRating","PFR","TIS+PFR","Pace","Time","Distance","Race Type","Class","ClassNumber","DistanceInYards","JockeyClaim","Prize","Race","Fin Pos","UR2","UR3","UR4","Pounds","Form","Won Since","Plc Since","Runs Since","SR Since","Plc SR Since","P/L Since","Won Before","Plc Before","Runs Before","SR Before","Plc SR Before","Finished Races SR","P/L Before","VDW","Class LTO","New Class LTO","Value LTO","Pounds LTO","Distance LTO","Distance in Yards LTO","BSP_(Decimal)_LTO","SP_(Decimal)_LTO","PaceForm","Pace %","Draw","Age","Weight","History","#","Rating","Classifications","Course Characteristics","Qual","Tissue Odds","Tissue Numerical Odds","Min Age","Max Age","Hcap Limit","Runners","Orig_Runners","Main","Main Stats","Stats","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","DSLR(F)","DSLR(J)","Colour","Sex","Dam","Sire","Equip","Pen","Draw IV","FWins","FRuns","fPRB","fPRB^2","50% Low SR","70% Low SR","PvSTot","PvSTotL3","50% High SR","12 Tick Higher SR","BSP","IR_Lowest","%DiffLOW","IR_Highest","Replay","%DiffHIGH","Sex","t7PRB","t14PRB","t28PRB","t56PRB","UR5","UR6","Numerical Odds","POSAFTUPG","CHGPOS","LTO_POSAFTUPG","LTO_CHGPOS"
"31/08/2026","15:35","Epsom","Great Bedwyn","19.00","0.00","19.00","0.00","19.00","0.00","NO","","0.00","","6","Mr Lucas Murphy","Richard Hannon","58","73","16","83","76","64","65","D","67","73","60","30","38","68","2","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","4","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","161","2856-282833","0","0","0","0.00","0.00","0.00","4","7","31","12.90","22.58","0.00","1.50","80.17","D","4","10468.00","132","1m 4f","2640","4.70","4.00","PPPP-PPHHPH","3.00","10","6","11.7","D","3","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","17/2","8.50","4","","90","14","14","307","563","256","67","76","75","38","16","","b","g","Mistress Quickly","Showcasing","","0","1.14","4","31","59.27","43.33","38.71","22.58","11","-1","25.00","25.00","1.00","0.00","0.00","0.00","NO","0.00","Male","56.90","54.21","48.26","50.85","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Damascus Steel","23.00","50.00","34.00","21.21","41.00","81.82","NO","","0.00","","1","Fletcher Yarham","Gihan Arnolda","54","123","37","79","76","57","58","D","57","72","57","34","34","68","4","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","157","01-12356118","0","0","0","0.00","0.00","0.00","9","12","50","18.00","24.00","0.00","40.44","48.23","C","3","15462.00","127","1m 3f 188y","2608","13.50","11.00","HH-HHPHHHPP","6.00","12","6","11.3","CD","9","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","15/2","7.50","4","","90","14","14","259","606","347","86","76","97","88","37","","gr","g","Shanjia","Mastercraftsman","p","0","0.96","9","50","55.90","43.39","60.00","40.00","16","1","22.22","22.22","1.00","0.00","0.00","0.00","NO","0.00","Male","75.00","68.14","59.67","63.81","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Gordon Grey","9.00","-18.75","7.50","7.69","8.00","-12.50","NO","","0.00","","5","Mr P W Mullins","George Baker","40","80","86","85","74","61","55","C","63","72","54","12","32","44","12","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","163","2/9171111-90","0","0","0","0.00","0.00","0.00","7","7","31","22.58","22.58","75.00","0.07","52.77","B","2","38655.00","119","1m 4f 6y","2646","25.39","19.00","L/LLLLLLL-LL","18.00","7","6","11.9","CD","2","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","22/1","22.00","4","","90","14","14","256","530","274","61","94","70","49","86","439","bg","g","Lady Aquitaine","Australia","tpWS","0","1.22","7","31","58.35","46.60","58.06","38.71","3","1","0.00","14.29","1.00","0.00","0.00","0.00","NO","0.00","Male","46.67","39.93","41.86","43.77","0.00","0.00","0.00","","","13","0"
"31/08/2026","15:35","Epsom","Epictetus","17.00","37.50","23.00","13.64","26.00","56.25","NO","","0.00","","4","Mr Jack Loughnane","Jamie Osborne","67","88","9","82","80","64","63","D","62","78","64","27","36","63","2","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","6","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","160","2233052316","0","0","0","0.00","0.00","0.00","4","8","37","10.81","21.62","0.00","-12.60","247.19","D","4","5653.00","137","1m 2f","2200","6.20","5.50","PHHHHHHPHH","3.00","4","6","11.6","C","5","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","10/1","10.00","4","","90","14","14","274","533","259","60","51","97","51","9","","b","g","Thistle Bird","Kingman","t","0","0.93","4","37","53.31","38.36","37.84","24.32","7","1","25.00","25.00","1.00","0.00","0.00","0.00","NO","0.00","Male","62.59","51.88","54.54","54.78","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Son Of Man","21.00","10.00","23.00","0.00","23.00","10.00","NO","","0.00","","7","Mr Ross Birkett","Jim Boyle","51","67","19","82","75","64","52","D","51","72","62","22","28","50","2","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","160","42-33512309","0","0","0","0.00","0.00","0.00","2","9","27","7.41","33.33","0.00","-12.50","160.98","C","3","8246.00","138","1m 3f 219y","2639","60.00","29.00","PL-HPHPLPHH","3.00","11","5","11.6","D","4","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","12/1","12.00","4","","90","14","14","220","468","248","56","68","91","33","19","","b","g","Crisolles","Dark Angel","","0","1.21","2","27","53.78","38.03","18.52","11.11","11","-1","50.00","100.00","1.00","0.00","0.00","0.00","NO","0.00","Male","48.69","56.62","47.90","46.01","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Curran","15.00","28.57","19.00","55.56","29.00","100.00","NO","","0.00","","8","Mr Patrick Millman","Rod Millman","67","62","25","73","74","59","60","E","63","73","55","24","28","52","6","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","151","5245-016512","0","0","0","0.00","0.00","0.00","6","6","30","20.00","20.00","0.00","24.30","49.77","E","5","4187.00","134","1m 4f","2640","7.20","6.00","LHLP-HPLPPP","9.00","5","5","10.11","","11","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","11/1","11.00","4","","90","14","14","244","475","231","72","54","48","57","25","","ch","g","Tipitena","Gleneagles","WS","0","1.04","6","30","49.03","37.48","30.00","23.33","4","3","16.67","16.67","1.00","0.00","0.00","0.00","NO","0.00","Male","65.48","58.71","55.31","60.88","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Seeking Charles","13.00","0.00","13.00","0.00","13.00","0.00","NO","","0.00","","14","Mr Henry Main","Mark Usher","57","18","25","67","62","57","54","E","57","61","54","16","18","34","8","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","2","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","145","826/030-7732","0","0","0","0.00","0.00","0.00","0","3","11","0.00","27.27","100.00","-11.00","0.00","E","5","5234.00","132","1m 4f","2640","7.00","6.50","HPP/HHH-HHLL","12.00","6","5","10.5","","14","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","18/1","18.00","4","","90","14","14","147","316","169","51","62","77","-21","25","161","ch","g","Marie Cuddy","Olympic Glory","","0","1.10","0","11","42.88","27.48","54.55","36.36","5","1","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","57.50","46.80","49.53","47.37","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Sweet Reward","29.00","42.86","41.00","0.00","41.00","42.86","NO","","0.00","","9","Mr James Hills","Jonathan Portman","64","54","30","87","78","64","64","D","64","77","62","22","28","50","6","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","4","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","165","36557-21190","0","0","0","0.00","0.00","0.00","9","11","59","15.25","18.64","0.00","11.13","63.17","C","3","25770.00","134","1m 1f 11y","1991","106.91","41.00","PPPHP-PLLPH","9.00","14","9","11.11","C","1","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","12/1","12.00","4","","90","14","14","266","572","306","72","66","97","71","30","","b","g","Dangle","Acclamation","","0","1.86","9","59","61.42","44.64","45.76","35.59","25","-1","11.11","22.22","1.00","0.00","0.00","0.00","NO","0.00","Male","45.06","48.95","48.85","51.43","0.00","0.00","0.00","","","",""
"31/08/2026","15:30","Chepstow","Fullstop","12.00","63.64","19.00","11.11","21.00","81.82","NO","","0.00","","9","Ashley Lewis","G Harris","38","69","25","52","58","52","41","F","38","55","48","22","7","29","6","31/08/2026 15:30","7f 16y","Turf","F","6","1556","3","3768.00","Runtech Ltd Handicap (Div 1) (Class F)","","","","0.00","127","930-935687","0","0","0","0.00","0.00","0.00","0","2","9","0.00","22.22","0.00","-9.00","0.00","E","5","4187.00","120","7f 16y","1556","24.96","23.00","HPH-PLLPHL","19.00","4","3","9.1","","6","0","Hcap","Left - Galloping / Undulating","3yo+,55","9/1","9.00","3","","55","11","11","237","504","267","68","89","87","23","25","","b","g","The Singing Hills","Bungle Inthejungle","ht","0","0.89","0","9","38.46","25.14","44.44","33.33","3","-1","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","53.90","52.94","48.92","50.93","0.00","0.00","0.00","","","",""
"31/08/2026","15:30","Chepstow","Escape Magic","3.00","-25.00","2.50","33.33","3.00","0.00","NO","","0.00","","1","Rossa Ryan","Owen Burrows","61","254","37","55","67","54","61","F","61","61","52","45","68","113","4","31/08/2026 15:30","7f 16y","Turf","F","6","1556","0","3768.00","Runtech Ltd Handicap (Div 1) (Class F)","","","","0.00","130","760-113","0","0","0","0.00","0.00","0.00","2","0","6","33.33","0.00","0.00","5.67","32.97","F","6","3926.00","133","1m","1760","2.97","2.50","HPH-HPP","13.00","10","3","9.4","CD  BF","5","0","Hcap","Left - Galloping / Undulating","3yo+,55","4/1","4.00","3","","55","11","11","333","673","340","89","91","76","84","37","","ch","f","Ebrahcadebrah","Without Parole","","0","0.81","2","6","56.30","44.48","50.00","33.33","2","1","100.00","100.00","1.00","0.00","0.00","0.00","NO","0.00","Female","49.33","47.14","56.73","62.68","0.00","0.00","0.00","","","",""
