"Date","Time","Course","Horse","EvP","E--B","BrP","B--M","MoP","E--M","NRs","Odds","E--SP","Finishing Position","UR1_Rank","Jockey","Trainer","dyLTO","UR1","DSLR","OR","dyHA","dyMR","dyAVG(X)","dyHC","dyMR(X)","dy2HA","dyAVG","TissueRating","PFR","TIS+PFR","Pace","Time","Distance","Race Type","Class","ClassNumber","DistanceInYards","JockeyClaim","Prize","Race","Fin Pos","UR2","UR3","UR4","Pounds","Form","Won Since","Plc Since","Runs Since","SR Since","Plc SR Since","P/L Since","Won Before","Plc Before","Runs Before","SR Before","Plc SR Before","Finished Races SR","P/L Before","VDW","Class LTO","New Class LTO","Value LTO","Pounds LTO","Distance LTO","Distance in Yards LTO","BSP_(Decimal)_LTO","SP_(Decimal)_LTO","PaceForm","Pace %","Draw","Age","Weight","History","#","Rating","Classifications","Course Characteristics","Qual","Tissue Odds","Tissue Numerical Odds","Min Age","Max Age","Hcap Limit","Runners","Orig_Runners","Main","Main Stats","Stats","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","DSLR(F)","DSLR(J)","Colour","Sex","Dam","Sire","Equip","Pen","Draw IV","FWins","FRuns","fPRB","fPRB^2","50% Low SR","70% Low SR","PvSTot","PvSTotL3","50% High SR","12 Tick Higher SR","BSP","IR_Lowest","%DiffLOW","IR_Highest","Replay","%DiffHIGH","Sex","t7PRB","t14PRB","t28PRB","t56PRB","UR5","UR6","Numerical Odds","POSAFTUPG","CHGPOS","LTO_POSAFTUPG","LTO_CHGPOS"
"30/08/2026","14:50","Beverley","Pocket Change","29.00","0.00","29.00","-10.71","26.00","-10.71","NO","16/1","-42.86","13","5","Kevin Stott","Phillip Makin","44","63","126","0","44","44","44","C","44","","44","13","8","21","2","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","13","","","0.00","128","8","0","0","0","0.00","0.00","0.00","0","0","1","0.00","0.00","0.00","-1.00","0.00","C","3","16200.00","122","5f 1y","1101","38.00","34.00","P","8.00","9","2","9.2","","10","23","Mdn-Fil","Right - Stiff","2yo","9/1","9.00","2","2","","13","13","280","582","302","67","90","75","70","126","","ch","f","Ivor's Magic","Far Above","","0","0.77","0","1","0.00","0.00","0.00","0.00","-1","-1","0.00","0.00","21.00","50.00","138.10","1000.00","YES","4661.90","Female","84.72","66.54","61.89","47.67","0.00","0.00","16.00","","","8","0"
"30/08/2026","14:50","Beverley","Cheeky Chesca","5.50","11.11","6.00","50.00","8.50","66.67","NO","8/1","77.78","3","4","David Allan","Tim Easterby","54","123","13","60","57","54","50","F","51","56","51","19","20","39","6","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","3","","","0.00","128","552237793","0","0","0","0.00","0.00","0.00","0","3","9","0.00","33.33","0.00","-9.00","0.00","F","6","3664.00","131","5f 212y","1312","8.20","7.50","HPLLLHPLH","25.00","13","2","9.2","","1","58","Mdn-Fil","Right - Stiff","2yo","6/1","6.00","2","2","","13","13","338","515","177","74","70","73","-40","13","","b","f","Bear Cheek","Invincible Army","b1","0","0.43","0","9","52.69","33.79","22.22","0.00","3","1","0.00","0.00","11.50","4.10","-64.35","1000.00","YES","8595.65","Female","56.59","46.93","48.31","48.03","0.00","0.00","8.00","","","",""
"30/08/2026","14:50","Beverley","Floral Maid","23.00","13.64","26.00","-28.00","19.00","-18.18","NO","25/1","13.64","2","13","Cam Hardie","Brian Ellison","","7","","0","","","","","","","","0","14","14","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","2","","","0.00","128","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","6","2","9.2","","5","64","Mdn-Fil","Right - Stiff","2yo","","0.00","2","2","","13","13","243","516","273","64","41","68","100","","","ch","f","Saadatt","Calyx","","0","1.07","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","34.00","8.00","-76.47","1000.00","YES","2841.18","Female","53.39","59.51","51.76","49.81","0.00","0.00","25.00","","","",""
"30/08/2026","14:50","Beverley","Last Dandelion","6.00","-10.00","5.50","33.33","7.00","20.00","NO","8/1","60.00","11","3","Ethan Tindall","Stuart Williams","53","139","7","61","55","47","49","E","48","53","46","19","38","57","4","30/08/2026 14:50","5f","Turf","D","4","1100","5","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","11","","","0.00","123","05304532","0","0","0","0.00","0.00","0.00","0","3","8","0.00","37.50","0.00","-8.00","0.00","E","5","4320.00","128","5f 60y","1160","3.85","3.50","HPPPHPPH","17.00","11","2","8.11","BF","7","39","Mdn-Fil","Right - Stiff","2yo","6/1","6.00","2","2","","13","13","349","620","271","75","68","90","38","7","","b","f","Parsnip","Pinatubo","","0","0.19","0","8","49.48","32.36","12.50","12.50","-2","-3","0.00","0.00","13.00","23.00","76.92","1000.00","YES","7592.31","Female","37.92","41.56","44.80","47.49","0.00","0.00","8.00","","","",""
"30/08/2026","14:50","Beverley","Purrista","15.00","0.00","15.00","14.29","17.00","14.29","NO","25/1","78.57","9","6","Connor Beasley","Gemma Tutty","44","56","4","0","44","44","43","D","44","44","43","13","5","18","2","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","9","","","0.00","128","305","0","0","0","0.00","0.00","0.00","0","1","3","0.00","33.33","0.00","-3.00","0.00","D","4","5400.00","122","5f","1100","53.02","23.00","HHP","8.00","10","2","9.2","","11","42","Mdn-Fil","Right - Stiff","2yo","9/1","9.00","2","2","","13","13","288","467","179","61","87","63","-32","4","","ch","f","Pink Haze","Caturra","","0","0.60","0","3","42.06","29.27","0.00","0.00","1","1","0.00","0.00","32.00","16.50","-48.44","1000.00","YES","3025.00","Female","56.93","52.15","55.11","50.36","0.00","0.00","25.00","","","",""
"30/08/2026","14:50","Beverley","Suenicora Star","26.00","0.00","26.00","-36.00","17.00","-36.00","NO","12/1","-52.00","7","12","M P Sheehy","Brian Ellison","53","22","29","0","53","47","47","D","47","41","47","11","3","14","2","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","7","","","0.00","128","05","0","0","0","0.00","0.00","0.00","0","0","2","0.00","0.00","0.00","-2.00","0.00","D","4","5940.00","125","5f","1100","130.00","67.00","HP","8.00","7","2","9.2","","13","47","Mdn-Fil","Right - Stiff","2yo","11/1","11.00","2","2","","13","13","266","514","248","64","63","51","70","29","","b","f","Lady Crossmar","Aclaim","","0","0.96","0","2","29.12","10.37","100.00","0.00","2","2","0.00","0.00","18.10","800.00","4319.89","1000.00","YES","5424.86","Female","53.39","59.51","51.76","49.81","0.00","0.00","12.00","","","",""
"30/08/2026","14:50","Beverley","Eleven Eighty Two","3.75","9.09","4.00","11.00","4.33","21.09","NO","3/1 (F)","9.09","8","1","Andrew Mullen","Ben Haslam","48","187","34","69","58","51","53","E","53","53","52","27","34","61","6","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","8","","","0.00","128","4226","0","0","0","0.00","0.00","0.00","0","2","4","0.00","50.00","0.00","-4.00","0.00","E","5","4711.00","123","6f","1320","4.60","4.00","HHPL","25.00","8","2","9.2","","4","47","Mdn-Fil","Right - Stiff","2yo","4/1","4.00","2","2","","13","13","354","580","226","69","59","74","24","34","","b","f","Eyes That Dazzle","Ardad","","0","0.71","0","4","54.72","44.00","50.00","25.00","0","-1","0.00","0.00","4.90","8.40","71.43","1000.00","YES","20308.16","Female","47.72","43.38","39.47","46.05","0.00","0.00","3.00","","","",""
"30/08/2026","14:50","Beverley","Serenity Bay","41.00","-17.50","34.00","0.00","34.00","-17.50","NO","40/1","0.00","6","2","Oisin Orr","Ed Dunlop","25","155","40","0","48","39","37","B","39","39","37","12","3","15","2","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","6","","","0.00","128","059","0","0","0","0.00","0.00","0.00","0","0","3","0.00","0.00","0.00","-3.00","0.00","D","4","5940.00","125","7f 36y","1576","100.00","41.00","HPH","8.00","5","2","9.2","","12","48","Mdn-Fil","Right - Stiff","2yo","10/1","10.00","2","2","","13","13","252","578","326","99","93","62","72","40","","b","f","Star Story","Bayside Boy","","0","1.07","0","3","9.70","1.61","0.00","0.00","-3","-3","0.00","0.00","62.65","50.00","-20.19","1000.00","YES","1496.17","Female","63.56","48.25","43.60","42.86","0.00","0.00","40.00","","","9","0"
"30/08/2026","14:55","Yarmouth","Fantasy Master","9.50","-11.76","8.50","-33.33","6.00","-41.18","YES","13/2","-23.53","3","4","Kieran O'Neill","Robert Cowell","71","69","8","72","76","64","64","D","67","75","62","32","23","55","8","30/08/2026 14:55","5f 42y","Turf","C","3","1142","0","9483.00","Bodhi Solutions - Exceeding Expectations In Construction Handicap (Class C)","3","","","0.00","120","0406551-382","0","0","0","0.00","0.00","0.00","8","13","56","14.29","23.21","0.00","81.25","77.62","D","4","6442.00","130","5f","1100","8.70","7.50","HHHHPPP-LPP","31.00","4","8","8.8","D","9","64","Hcap","Left - Galloping","3yo+,95","17/2","8.50","3","","95","4","9","268","528","260","77","66","79","38","8","","ch","g","Dinvar Diva","Sepoy","p","0","0.89","8","56","57.98","43.02","30.36","23.21","10","1","37.50","50.00","9.20","9.00","-2.17","1000.00","YES","10769.57","Male","60.00","53.12","55.14","47.93","0.00","0.00","6.50","","","",""
"30/08/2026","14:50","Beverley","Dawn's Gift","9.50","-11.76","8.50","0.00","8.50","-11.76","NO","12/1","41.18","10","10","Alistair Rawlinson","Sara Ender","56","40","29","0","56","56","56","D","56","","56","16","15","31","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","10","","","0.00","128","6","0","0","0","0.00","0.00","0.00","0","0","1","0.00","0.00","0.00","-1.00","0.00","D","4","4320.00","128","6f 111y","1431","88.78","67.00","H","0.00","3","2","9.2","","2","41","Mdn-Fil","Right - Stiff","2yo","15/2","7.50","2","2","","13","13","308","519","211","46","59","58","48","29","","b","f","Snake's Head","Mohaather","","0","1.21","0","1","54.55","29.75","0.00","0.00","1","1","0.00","0.00","18.00","160.00","788.89","1000.00","YES","5455.56","Female","29.17","29.17","37.00","53.33","0.00","0.00","12.00","","","",""
